caseid,make_get_guns,gender,ideology,trust_in_gov,religion,race
4408,Same,Female,Slightly Conservative,Half of the Time,Several Times Daily,White
978,Same,Female,,,Few Times A Week,Black
4063,Same,Male,Conservative,,Several Times Daily,Black
190,Same,Female,Slightly Liberal,,Never,White
5835,Same,Female,Conservative,,Several Times Daily,White
5013,Same,Female,Moderate,Half of the Time,Several Times Daily,White
5977,Same,Female,Slightly Liberal,Some of the Time,Once A Week Or Less,Hispanic
756,Same,Male,Moderate,,Once A Week Or Less,White
4061,Same,Male,Moderate,,Never,White
1328,Same,Female,Slightly Conservative,Half of the Time,Several Times Daily,Black
568,Same,Male,Moderate,Some of the Time,Once Daily,Black
867,Same,Male,Moderate,,Once A Week Or Less,Hispanic
4066,Same,Female,Liberal,Half of the Time,Never,White
5992,Same,Female,Moderate,Some of the Time,Once A Week Or Less,White
5321,Same,Male,Conservative,,Few Times A Week,White
6672,Same,Male,Conservative,,Never,White
5650,Same,Male,Slightly Conservative,Most Of The Time,Few Times A Week,White
5323,Same,Female,Moderate,Most Of The Time,Once Daily,White
6228,Same,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
3125,Same,Male,Conservative,,Several Times Daily,White
904,Same,Male,Moderate,,Never,White
6395,Same,Male,Slightly Conservative,,Few Times A Week,White
959,Same,Male,Extremely Conservative,,Once Daily,White
3659,Same,Male,Conservative,,Once A Week Or Less,White
1254,Same,Female,Conservative,,Once Daily,White
5173,Same,Male,Conservative,Some of the Time,Once A Week Or Less,White
6727,Same,Male,Conservative,Some of the Time,Once A Week Or Less,White
5169,Same,Female,Moderate,,Once Daily,Hispanic
3646,Same,Female,Slightly Conservative,,Few Times A Week,White
77,Same,Female,Slightly Conservative,Most Of The Time,Several Times Daily,White
4253,Same,Male,Moderate,Half of the Time,,
529,Same,Male,Moderate,,Never,Hispanic
4991,Same,Male,Slightly Conservative,Some of the Time,Several Times Daily,Black
5996,Same,Male,Moderate,Some of the Time,Few Times A Week,Black
5401,Same,Female,Conservative,Half of the Time,Few Times A Week,White
5985,Same,Male,Slightly Conservative,Most Of The Time,Few Times A Week,Hispanic
5597,Same,Male,Slightly Conservative,,Several Times Daily,White
6471,Same,Male,Moderate,Some of the Time,Never,Black
5884,Same,Female,Conservative,Some of the Time,Several Times Daily,White
5253,Same,Female,Slightly Conservative,Some of the Time,Once Daily,White
1296,Same,Female,Slightly Conservative,Half of the Time,Once A Week Or Less,White
1903,Same,Male,Conservative,Most Of The Time,Several Times Daily,White
933,Same,Female,Conservative,,Several Times Daily,White
6458,Same,Male,Conservative,Some of the Time,Never,Hispanic
3922,Same,Male,Moderate,,Once Daily,White
4706,Same,Female,Moderate,Some of the Time,Never,Black
5473,Same,Male,Slightly Conservative,Half of the Time,Once A Week Or Less,White
1777,Same,Female,Slightly Liberal,,Several Times Daily,Black
1732,Same,Female,Moderate,Some of the Time,Several Times Daily,White
4151,Same,Female,Moderate,Half of the Time,Never,White
6439,Same,Male,Conservative,Half of the Time,Once Daily,Hispanic
155,Same,Male,Slightly Conservative,Half of the Time,Once Daily,White
4873,Same,Male,Extremely Conservative,,Several Times Daily,White
4428,Same,Male,Slightly Conservative,Never,Several Times Daily,Other
5944,Same,Female,Extremely Conservative,Never,Several Times Daily,White
961,Same,Female,,,Several Times Daily,Black
1288,Same,Female,Slightly Liberal,,Several Times Daily,White
924,Same,Female,Moderate,Half of the Time,Several Times Daily,Other
3246,Same,Female,Slightly Conservative,Some of the Time,Once Daily,White
476,Same,Male,Slightly Liberal,Some of the Time,Several Times Daily,White
5366,Same,Female,Moderate,,Once Daily,White
682,Same,Male,Conservative,Some of the Time,Once Daily,Hispanic
5674,Same,Male,Slightly Conservative,Some of the Time,Never,White
3239,Same,Male,Moderate,,Once A Week Or Less,Black
5228,Same,Male,Moderate,,Never,White
4115,Same,Female,Slightly Conservative,Most Of The Time,Once A Week Or Less,White
6118,Same,Male,Extremely Liberal,Some of the Time,Few Times A Week,Hispanic
4143,Same,Male,Moderate,,Few Times A Week,Black
3773,Same,Male,Slightly Conservative,Half of the Time,Several Times Daily,Black
5310,Same,Male,Conservative,,Several Times Daily,White
5685,Same,Male,Extremely Liberal,,Never,Hispanic
5277,Same,Female,Moderate,,Once A Week Or Less,Other
4073,Same,Male,Conservative,Some of the Time,Few Times A Week,White
5684,Same,Male,Extremely Liberal,,Once Daily,Hispanic
5671,Same,Female,Conservative,Half of the Time,Once Daily,White
5471,Same,Female,Conservative,Some of the Time,Once A Week Or Less,White
3806,Same,Female,Moderate,,Never,White
5270,Same,Male,,,Few Times A Week,White
6709,Same,Female,Moderate,Some of the Time,Never,White
4921,Same,Male,Slightly Liberal,Most Of The Time,Once A Week Or Less,White
6079,Same,Female,Moderate,,Once A Week Or Less,White
858,Same,Male,,Some of the Time,Once Daily,White
4120,Same,Male,Conservative,Some of the Time,Several Times Daily,White
575,Same,Male,Conservative,,Several Times Daily,Black
576,Same,Female,Moderate,Half of the Time,Several Times Daily,Black
6792,Same,Male,Moderate,,Few Times A Week,Black
599,Same,Male,,,Few Times A Week,Black
5451,Same,Male,Conservative,,Few Times A Week,White
1076,Same,Male,,,Once A Week Or Less,Black
3527,Same,Male,Slightly Liberal,Half of the Time,Once A Week Or Less,White
1627,Same,Female,,Half of the Time,Once Daily,Hispanic
1621,Same,Female,Moderate,,Few Times A Week,White
4842,Same,Male,Moderate,Most Of The Time,Once Daily,Black
1850,Same,Male,Slightly Liberal,Half of the Time,Few Times A Week,Black
3458,Same,Male,Conservative,Some of the Time,Several Times Daily,White
1455,Same,Female,Slightly Conservative,Half of the Time,Several Times Daily,Hispanic
10,Same,Male,Conservative,Most Of The Time,Once A Week Or Less,White
715,Same,Female,,Half of the Time,Never,White
1042,Same,Male,,Half of the Time,Never,White
101,Same,Male,Moderate,Half of the Time,Few Times A Week,White
1413,Same,Female,Slightly Conservative,,,Hispanic
5699,Same,Male,Moderate,,Once A Week Or Less,Black
5262,Same,Female,Moderate,Some of the Time,Never,Other
752,Same,Male,Moderate,,Once A Week Or Less,White
3,Same,Female,,Most Of The Time,Several Times Daily,Black
4501,Same,Female,Moderate,Some of the Time,Several Times Daily,Other
256,Same,Female,Moderate,,Several Times Daily,White
3776,Same,Female,Conservative,,Once A Week Or Less,White
3774,Same,Female,Conservative,Some of the Time,Few Times A Week,White
6004,Same,Male,Slightly Conservative,Never,Once Daily,White
6700,Same,Male,Moderate,,Never,White
6597,Same,Male,Moderate,Some of the Time,Never,White
3725,Same,Male,Conservative,Never,Never,White
485,Same,Male,Moderate,Some of the Time,Few Times A Week,Hispanic
601,Same,Male,Liberal,Half of the Time,Few Times A Week,Black
5666,Same,Female,Moderate,,Few Times A Week,White
3006,Same,Female,,,,White
5509,Same,Male,Moderate,,Never,Hispanic
4770,Same,Male,Liberal,Half of the Time,Several Times Daily,Black
247,Same,Male,Liberal,,Never,White
277,Same,Male,Moderate,Half of the Time,Several Times Daily,White
3601,Same,Female,Conservative,,Few Times A Week,White
1624,Same,Male,,,Once A Week Or Less,Hispanic
587,Same,Male,Moderate,Some of the Time,Once A Week Or Less,Black
3123,Same,Female,Moderate,,Never,White
3189,Same,Female,Moderate,Some of the Time,Several Times Daily,White
6858,Same,Female,Conservative,,Several Times Daily,White
4581,Same,Female,Moderate,Always,Several Times Daily,Black
5555,Same,Male,Slightly Liberal,Half of the Time,Once Daily,Black
3796,Same,Female,Conservative,Half of the Time,Several Times Daily,White
4134,Same,Female,Conservative,,Once A Week Or Less,White
4536,Same,Male,Moderate,Never,Once A Week Or Less,White
3065,Same,Female,Slightly Conservative,,Several Times Daily,White
849,Same,Female,,,Several Times Daily,Hispanic
821,Same,Female,Conservative,Some of the Time,Several Times Daily,White
1587,Same,Female,Moderate,Never,Once A Week Or Less,White
4396,Same,Male,Slightly Liberal,,Few Times A Week,White
3816,Same,Female,Extremely Conservative,Half of the Time,Several Times Daily,White
4053,Same,Male,Moderate,,Never,White
5276,Same,Male,Slightly Liberal,Some of the Time,Never,White
4901,Same,Female,Conservative,Some of the Time,Few Times A Week,White
4075,Same,Male,Conservative,Some of the Time,Few Times A Week,White
1044,Same,Male,Extremely Liberal,Some of the Time,Few Times A Week,White
4934,Same,Male,Slightly Conservative,Some of the Time,Never,White
6259,Same,Female,Slightly Conservative,,Several Times Daily,White
211,Same,Female,Slightly Conservative,Some of the Time,Several Times Daily,White
1995,Same,Female,Moderate,,Once Daily,Other
6270,Same,Male,Conservative,Some of the Time,Once A Week Or Less,White
1287,Same,Male,Extremely Conservative,Never,Few Times A Week,White
5124,Same,Male,Slightly Conservative,,Never,White
202,Same,Female,Extremely Liberal,Most Of The Time,Several Times Daily,Hispanic
210,Same,Male,Slightly Liberal,Half of the Time,Once A Week Or Less,White
4343,Same,Male,Moderate,Some of the Time,Few Times A Week,White
143,Same,Male,Slightly Conservative,,Few Times A Week,White
6817,Same,Male,Slightly Conservative,,Few Times A Week,Hispanic
1566,Same,Male,Moderate,Half of the Time,Once Daily,Hispanic
6020,Same,Female,Moderate,,Several Times Daily,White
5838,Same,Female,Conservative,,Few Times A Week,White
579,Same,Male,Slightly Conservative,,Never,Black
4052,Same,Female,Slightly Conservative,Most Of The Time,Once A Week Or Less,White
6468,Same,Male,Moderate,,Never,White
5285,Same,Female,Conservative,Some of the Time,Several Times Daily,White
943,Same,Female,Moderate,,Never,White
4569,Same,Female,Slightly Conservative,Most Of The Time,Once A Week Or Less,White
3518,Same,Male,Conservative,Some of the Time,Once Daily,White
5495,Same,Female,Moderate,,Once A Week Or Less,White
1087,Same,Male,Moderate,Never,Once A Week Or Less,White
4299,Same,Male,Moderate,Some of the Time,Never,White
3020,Same,Male,Moderate,,Never,Black
3124,Same,Male,Moderate,,Once Daily,Black
6218,Same,Female,Moderate,,Once A Week Or Less,White
5548,Same,Female,Conservative,,Once Daily,White
1585,Same,Female,Slightly Conservative,Some of the Time,Never,White
3549,Same,Male,Moderate,,Few Times A Week,White
3328,Same,Female,Slightly Conservative,Most Of The Time,Several Times Daily,White
5024,Same,Male,Conservative,,Once A Week Or Less,White
4496,Same,Male,Liberal,Half of the Time,Never,Hispanic
1425,Same,Male,Moderate,Some of the Time,Several Times Daily,Black
4234,Same,Female,Liberal,,Several Times Daily,White
1723,Same,Female,Slightly Liberal,,Once A Week Or Less,White
6466,Same,Female,Moderate,Some of the Time,Once A Week Or Less,Hispanic
5672,Same,Female,Liberal,Most Of The Time,Several Times Daily,White
4334,Same,Male,Moderate,,Several Times Daily,Black
3621,Same,Female,Moderate,Some of the Time,Once Daily,White
4196,Same,Female,Conservative,Never,Once A Week Or Less,White
391,Same,Male,Conservative,,Few Times A Week,White
5577,Same,Male,Moderate,,Once A Week Or Less,White
3096,Same,Male,Conservative,,Once A Week Or Less,White
5647,Same,Male,Conservative,,Once Daily,White
4301,Same,Female,Moderate,,Once Daily,Hispanic
760,Same,Male,Liberal,,Few Times A Week,White
5230,Same,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
5341,Same,Male,Conservative,Half of the Time,Several Times Daily,White
6015,Same,Male,Moderate,,Never,White
1603,Same,Female,Conservative,,Once A Week Or Less,White
44,Same,Female,Conservative,,Few Times A Week,White
5001,Same,Male,Slightly Conservative,,Never,Hispanic
3472,Same,Male,Extremely Conservative,,Several Times Daily,White
1946,Same,Male,Moderate,,Once Daily,Black
937,Same,Female,Liberal,,Once A Week Or Less,White
54,Same,Female,,Most Of The Time,Once A Week Or Less,White
176,Same,Male,,,Few Times A Week,White
106,Same,Male,Liberal,,Few Times A Week,White
426,Same,Male,,,Several Times Daily,White
4815,Same,Female,Conservative,Half of the Time,Several Times Daily,White
5920,Same,Male,Conservative,Never,Once Daily,White
1411,Same,Male,Slightly Conservative,,Few Times A Week,Hispanic
3705,Same,Female,Slightly Liberal,,Few Times A Week,White
2044,Same,Female,,Half of the Time,Several Times Daily,Other
6830,Same,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,Black
3563,Same,Female,Liberal,Some of the Time,Never,White
5563,Same,Male,Conservative,Some of the Time,Few Times A Week,White
6743,Same,Female,Slightly Conservative,Some of the Time,Once Daily,White
180,Same,Male,Slightly Liberal,Some of the Time,Once Daily,White
52,Same,Male,Conservative,,Once Daily,White
4582,Same,Male,Moderate,Half of the Time,Never,White
5127,Same,Female,Conservative,,Several Times Daily,White
6417,Same,Male,Slightly Conservative,,Few Times A Week,White
6006,Same,Male,Moderate,,Once Daily,Black
5558,Same,Male,Slightly Conservative,,Once A Week Or Less,White
3320,Same,Male,Conservative,,Several Times Daily,Black
6828,Same,Female,Moderate,,Once Daily,Hispanic
1200,Same,Female,Moderate,Some of the Time,Several Times Daily,Black
1810,Same,Male,Slightly Conservative,,Few Times A Week,White
5886,Same,Female,Moderate,,Several Times Daily,White
89,Same,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,Other
3844,Same,Female,Liberal,Most Of The Time,Several Times Daily,Black
5415,Same,Male,Extremely Conservative,Some of the Time,Once A Week Or Less,White
5109,Same,Male,Conservative,Some of the Time,Never,White
5221,Same,Male,Conservative,Never,Several Times Daily,Other
837,Same,Female,Liberal,Most Of The Time,Several Times Daily,Hispanic
6325,Same,Female,Conservative,Never,Few Times A Week,White
1713,Same,Female,,Half of the Time,Several Times Daily,Hispanic
545,Same,Male,,Some of the Time,Few Times A Week,Hispanic
5344,Same,Female,Slightly Conservative,Some of the Time,Few Times A Week,White
6445,Same,Female,Extremely Liberal,,Never,Hispanic
4417,Same,Male,Extremely Liberal,,Never,White
4739,Same,Female,Moderate,Some of the Time,Several Times Daily,Black
1800,Same,Male,Conservative,,Several Times Daily,White
274,Same,Male,Moderate,Some of the Time,Never,White
1124,Same,Female,Conservative,Never,Several Times Daily,White
6151,Same,Female,Conservative,Half of the Time,Once A Week Or Less,White
3550,Same,Female,Slightly Liberal,,Once Daily,White
48,Same,Male,Conservative,Some of the Time,Never,White
4830,Same,Male,Conservative,Never,Once A Week Or Less,White
47,Same,Female,Slightly Conservative,Never,Several Times Daily,White
46,Same,Female,Extremely Conservative,,Several Times Daily,Other
630,Same,Female,,Some of the Time,Once A Week Or Less,Hispanic
5385,Same,Female,Moderate,,Once A Week Or Less,White
541,Same,Male,,Most Of The Time,Never,Hispanic
3338,Same,Female,Conservative,,Several Times Daily,White
6016,Same,Male,Conservative,Never,Once Daily,White
1117,Same,Female,Conservative,Some of the Time,Several Times Daily,White
1188,Same,Female,Slightly Conservative,,Few Times A Week,White
5191,Same,Male,Conservative,,Several Times Daily,White
1367,Same,Male,Moderate,,Once Daily,Black
5532,Same,Female,Slightly Conservative,,Once A Week Or Less,White
4040,Same,Female,Moderate,Never,Several Times Daily,Black
1403,Same,Female,Slightly Conservative,,Once A Week Or Less,White
1634,Same,Male,Extremely Liberal,Never,Once Daily,Other
652,Same,Male,Conservative,Most Of The Time,Several Times Daily,Black
1537,Same,Male,Slightly Conservative,Half of the Time,Several Times Daily,Black
4440,Same,Male,Conservative,Half of the Time,Once A Week Or Less,White
1451,Same,Male,Slightly Liberal,,Once Daily,Hispanic
6430,Same,Male,Conservative,,Several Times Daily,White
3151,Same,Male,Slightly Conservative,,Never,White
4782,Same,Female,Conservative,Half of the Time,Several Times Daily,White
6371,Same,Female,Moderate,Most Of The Time,Once A Week Or Less,White
4116,Same,Female,Moderate,,Several Times Daily,White
5522,Same,Female,Slightly Conservative,,Few Times A Week,White
5516,Same,Male,Conservative,,Several Times Daily,White
4141,Same,Female,Extremely Conservative,Some of the Time,Once Daily,White
5468,Same,Male,Conservative,,Several Times Daily,White
18,Same,Female,,,Few Times A Week,White
6163,Same,Female,Moderate,Some of the Time,Once A Week Or Less,White
1387,Same,Female,Slightly Conservative,Some of the Time,Several Times Daily,White
5735,Same,Male,Moderate,,Several Times Daily,White
6460,Same,Male,Conservative,,Once Daily,White
6492,Same,Male,Conservative,,Few Times A Week,White
5514,Same,Male,Moderate,,Few Times A Week,White
1248,Same,Female,,Some of the Time,Never,White
5377,Same,Female,Extremely Conservative,,Few Times A Week,Other
1230,Same,Female,Conservative,,Few Times A Week,Black
6217,Same,Female,Moderate,,Never,White
1762,Same,Male,Slightly Conservative,,Several Times Daily,Black
1635,Same,Male,,Half of the Time,Several Times Daily,White
6232,Same,Male,Slightly Conservative,,Several Times Daily,White
1644,Same,Male,Slightly Conservative,Some of the Time,Never,
5008,Same,Female,Conservative,,Once Daily,White
3358,Same,Male,Conservative,,Few Times A Week,Other
1104,Same,Female,Extremely Conservative,Half of the Time,Several Times Daily,White
5438,Same,Female,Liberal,,Few Times A Week,Hispanic
5147,Same,Female,Slightly Conservative,,Never,White
5090,Same,Female,Moderate,Some of the Time,Never,Hispanic
3333,Same,Male,Conservative,Most Of The Time,Once A Week Or Less,White
4646,Same,Female,Extremely Conservative,Some of the Time,Few Times A Week,White
4779,Same,Female,Extremely Conservative,Never,Never,Hispanic
5726,Same,Female,Moderate,,Once Daily,Black
5927,Same,Female,Moderate,,Few Times A Week,White
3780,Same,Male,Slightly Conservative,,Few Times A Week,
4449,Same,Female,Slightly Conservative,Some of the Time,Several Times Daily,Hispanic
6574,Same,Male,Slightly Conservative,,Never,White
5420,Same,Male,Liberal,,Few Times A Week,White
5180,Same,Male,Moderate,Never,Never,Other
6164,Same,Female,Moderate,Most Of The Time,Once A Week Or Less,Black
3778,Same,Male,Moderate,,Once A Week Or Less,Other
3420,Same,Male,Liberal,Some of the Time,Once Daily,White
5500,Same,Male,Moderate,,Once A Week Or Less,Black
4275,Same,Male,Moderate,Some of the Time,Several Times Daily,Black
5491,Same,Male,Conservative,Never,Once Daily,White
1841,Same,Female,Conservative,,Several Times Daily,White
3805,Same,Male,Moderate,,Never,White
5388,Same,Female,Moderate,Most Of The Time,Few Times A Week,White
385,Same,Male,,,Never,Hispanic
5848,Same,Male,Slightly Conservative,Some of the Time,Few Times A Week,White
6124,Same,Male,Conservative,,Several Times Daily,White
4443,Same,Female,Slightly Conservative,Never,Once A Week Or Less,
6768,Same,Male,Slightly Conservative,Never,Never,White
3757,Same,Male,Conservative,Some of the Time,Several Times Daily,White
5391,Same,Female,Moderate,,Few Times A Week,White
3915,Same,Female,Slightly Conservative,,Once Daily,White
1259,Same,Female,Conservative,Some of the Time,Once Daily,White
6247,Same,Male,Slightly Conservative,Most Of The Time,Once Daily,Black
5489,Same,Male,Moderate,Some of the Time,Once Daily,Black
1655,Same,Female,Extremely Conservative,Some of the Time,Several Times Daily,White
6669,Same,Male,Extremely Liberal,Some of the Time,Never,White
4458,Same,Female,Moderate,Never,Few Times A Week,Other
1487,Same,Male,,Half of the Time,Several Times Daily,Black
6096,Same,Male,Moderate,Some of the Time,Once Daily,White
1050,Same,Male,Moderate,,Never,White
5395,Same,Male,Moderate,Half of the Time,Several Times Daily,Black
1229,Same,Female,Extremely Conservative,Some of the Time,Several Times Daily,Black
3121,Same,Male,Slightly Conservative,,Never,White
1245,Same,Female,,,Several Times Daily,White
4767,Same,Male,Moderate,Half of the Time,Several Times Daily,White
4641,Same,Female,Moderate,,Once Daily,White
4224,Same,Female,Liberal,Half of the Time,Once Daily,White
5554,Same,Male,Moderate,,Several Times Daily,Black
1912,Same,Female,,,Several Times Daily,Hispanic
5338,Same,Male,Moderate,Never,Never,White
1934,Same,Female,,Half of the Time,Few Times A Week,Black
4764,Same,Female,Slightly Conservative,,Several Times Daily,White
5784,Same,Male,Slightly Conservative,,Once Daily,Other
5403,Same,Male,Moderate,Half of the Time,Several Times Daily,White
4160,Same,Male,Slightly Liberal,,Once A Week Or Less,White
864,Same,Female,Conservative,Never,Few Times A Week,Hispanic
5318,Same,Female,Moderate,,Never,White
5404,Same,Female,Moderate,,Several Times Daily,White
6359,Same,Male,Conservative,,Several Times Daily,White
3758,Same,Male,Conservative,Some of the Time,Once Daily,Hispanic
3381,Same,Female,Conservative,,Once Daily,White
4574,Same,Female,Moderate,Most Of The Time,Once A Week Or Less,White
130,Same,Female,Slightly Liberal,Some of the Time,Once Daily,White
1588,Same,Female,Extremely Liberal,Always,Once Daily,White
5295,Same,Male,Moderate,Some of the Time,Few Times A Week,White
1192,Same,Female,,,Several Times Daily,Black
6251,Same,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
6778,Same,Female,Slightly Conservative,Half of the Time,Once Daily,White
1754,Same,Female,Conservative,Never,Several Times Daily,White
5413,Same,Male,Moderate,,Once Daily,White
1345,Same,Male,Slightly Conservative,Some of the Time,Once Daily,Black
3489,Same,Female,Conservative,Half of the Time,Once Daily,White
830,Same,Female,,,Several Times Daily,White
168,Same,Male,Slightly Liberal,,Never,White
5466,Same,Female,Slightly Conservative,Never,Once A Week Or Less,Other
1499,Same,Male,Slightly Liberal,,Few Times A Week,Other
3276,Same,Male,Slightly Conservative,Some of the Time,Few Times A Week,White
5409,Same,Male,Conservative,,Never,White
5465,Same,Male,Moderate,,Never,Hispanic
1386,Same,Female,Conservative,,Once Daily,White
5220,Same,Female,Moderate,Some of the Time,Few Times A Week,White
5463,Same,Female,Slightly Conservative,,Several Times Daily,White
1896,Same,Male,Extremely Conservative,Most Of The Time,Once Daily,Black
1960,Same,Female,Moderate,,Several Times Daily,Hispanic
104,Same,Male,,Half of the Time,Once A Week Or Less,White
37,Same,Female,,,Few Times A Week,Hispanic
5461,Same,Male,Moderate,,Several Times Daily,Black
4171,Same,Female,Moderate,,Few Times A Week,White
1870,Same,Female,,Some of the Time,Once Daily,Hispanic
5490,Same,Male,Conservative,Some of the Time,Once Daily,White
5663,Same,Female,Conservative,Half of the Time,Several Times Daily,White
758,Same,Female,Moderate,Half of the Time,Several Times Daily,White
3076,Same,Male,Moderate,Some of the Time,Once Daily,White
6511,Same,Male,Moderate,Some of the Time,Once A Week Or Less,White
3577,Same,Male,Moderate,Most Of The Time,Several Times Daily,Black
705,Same,Female,,,Few Times A Week,Hispanic
185,Same,Male,,Some of the Time,Once A Week Or Less,White
4968,Same,Female,Slightly Conservative,Some of the Time,Few Times A Week,White
4896,Same,Male,Moderate,Half of the Time,Several Times Daily,White
668,Same,Female,,Most Of The Time,Several Times Daily,Hispanic
4407,Same,Male,Liberal,,Several Times Daily,Other
703,Same,Male,,Never,Once A Week Or Less,Hispanic
5689,Same,Female,Slightly Conservative,Some of the Time,Once Daily,White
4824,Same,Female,Conservative,Some of the Time,Several Times Daily,White
3300,Same,Female,Slightly Liberal,,Once Daily,White
1462,Same,Male,Moderate,,Once Daily,Hispanic
3392,Same,Male,Conservative,Half of the Time,Few Times A Week,White
2022,Same,Male,,,Once Daily,White
182,Same,Male,,,Once A Week Or Less,Other
1581,Same,Female,Conservative,Some of the Time,Once Daily,White
3544,Same,Male,Conservative,,Several Times Daily,White
5445,Same,Male,Conservative,,Several Times Daily,White
6357,Same,Male,Slightly Conservative,,Several Times Daily,Hispanic
3061,Same,Male,Moderate,,Never,Other
586,Same,Female,Conservative,Most Of The Time,Several Times Daily,Black
1866,Same,Male,,,Never,White
5298,Same,Female,Extremely Conservative,Some of the Time,Several Times Daily,Black
506,Same,Female,Conservative,,Several Times Daily,Hispanic
4865,Same,Male,Moderate,,Once A Week Or Less,White
3098,Same,Male,Extremely Conservative,Some of the Time,Few Times A Week,White
30,Same,Male,Slightly Conservative,Some of the Time,Once Daily,White
3373,Same,Male,Conservative,Some of the Time,Several Times Daily,White
4233,Same,Male,Liberal,Some of the Time,Never,White
32,Same,Female,Moderate,,Few Times A Week,Other
6362,Same,Female,Moderate,Some of the Time,Few Times A Week,White
452,Same,Male,Liberal,,Several Times Daily,White
6725,Same,Female,Conservative,,Several Times Daily,White
1826,Same,Male,Moderate,,Once A Week Or Less,Hispanic
331,Same,Male,,Some of the Time,Once Daily,Black
393,Same,Male,Conservative,Half of the Time,Once A Week Or Less,White
371,Same,Male,Conservative,,Several Times Daily,White
3623,Same,Female,Slightly Conservative,,Never,White
5706,Same,Male,Liberal,,Several Times Daily,White
4941,Same,Male,Conservative,,Once Daily,White
324,Same,Male,Liberal,,Never,White
381,Same,Male,Slightly Liberal,Most Of The Time,Once A Week Or Less,White
6685,Same,Female,Moderate,,Never,White
3782,Same,Male,Slightly Conservative,,Once A Week Or Less,Other
6738,Same,Male,Slightly Liberal,Some of the Time,Never,Other
4526,Same,Female,Moderate,,Several Times Daily,Black
743,Same,Male,Moderate,,Several Times Daily,Hispanic
6780,Same,Male,Extremely Conservative,,Once A Week Or Less,White
1547,Same,Male,,,Never,White
1431,Same,Female,Slightly Liberal,Some of the Time,Several Times Daily,Hispanic
1025,Same,Male,Extremely Conservative,,Never,Black
6476,Same,Male,Conservative,,Once A Week Or Less,Other
1591,Same,Male,Slightly Liberal,Half of the Time,Several Times Daily,Other
4207,Same,Male,Moderate,Some of the Time,Few Times A Week,White
79,Same,Male,,,Never,White
6679,Same,Female,Liberal,,Once Daily,White
5724,Same,Male,Slightly Conservative,,Few Times A Week,Black
552,Same,Female,,Half of the Time,Few Times A Week,Black
3585,Same,Female,Slightly Conservative,Some of the Time,Once Daily,White
154,Same,Female,Moderate,,Several Times Daily,White
345,Same,Male,Moderate,Half of the Time,Once A Week Or Less,White
4872,Same,Female,Moderate,Half of the Time,Several Times Daily,White
4548,Same,Male,Conservative,,Once A Week Or Less,White
4236,Same,Female,Slightly Conservative,,Few Times A Week,White
5076,Same,Male,Slightly Conservative,,Once A Week Or Less,White
5184,Same,Male,Moderate,Some of the Time,Once A Week Or Less,White
5100,Same,Male,Moderate,Some of the Time,Once A Week Or Less,White
5732,Same,Male,Slightly Conservative,,Several Times Daily,White
3824,Same,Male,Conservative,Some of the Time,Never,White
4959,Same,Female,Liberal,,Several Times Daily,Black
5039,Same,Male,Slightly Conservative,Never,Several Times Daily,White
546,Same,Male,,,Never,Hispanic
1670,Same,Male,Moderate,Some of the Time,Once Daily,Black
86,Same,Male,Slightly Liberal,,Once A Week Or Less,White
5743,Same,Male,Conservative,,Few Times A Week,White
88,Same,Female,Conservative,,Once A Week Or Less,White
6115,Same,Female,Slightly Liberal,Half of the Time,Few Times A Week,Hispanic
6665,Same,Female,Moderate,Never,Several Times Daily,Other
6479,Same,Male,Slightly Conservative,,Never,White
6497,Same,Female,Moderate,,Never,Hispanic
531,Same,Male,,,Few Times A Week,Hispanic
1705,Same,Female,Slightly Conservative,Half of the Time,Once Daily,White
3857,Same,Male,Conservative,,Few Times A Week,White
5753,Same,Male,Extremely Conservative,Some of the Time,Several Times Daily,Hispanic
6446,Same,Female,Conservative,,Once A Week Or Less,White
6763,Same,Male,Liberal,Most Of The Time,Once Daily,Other
6659,Same,Male,Conservative,,Several Times Daily,White
4825,Same,Male,Slightly Conservative,Some of the Time,Once Daily,White
4491,Same,Male,Moderate,,Never,Other
6657,Same,Male,Moderate,,Few Times A Week,White
3408,Same,Male,Moderate,,Once Daily,White
5760,Same,Female,Slightly Conservative,Some of the Time,Several Times Daily,White
4859,Same,Male,Slightly Conservative,,Once A Week Or Less,White
5049,Same,Female,Moderate,,Once A Week Or Less,Hispanic
4589,Same,Male,Conservative,,Several Times Daily,Other
4545,Same,Female,Moderate,Some of the Time,Several Times Daily,White
4588,Same,Male,Conservative,Some of the Time,Once A Week Or Less,White
1992,Same,Female,Slightly Liberal,Half of the Time,Once A Week Or Less,Hispanic
6652,Same,Female,Moderate,,Once Daily,White
4566,Same,Male,Conservative,Half of the Time,Once Daily,White
6758,Same,Male,Conservative,Half of the Time,Several Times Daily,White
4909,Same,Female,Moderate,Half of the Time,Several Times Daily,Black
6349,Same,Female,Conservative,Some of the Time,Few Times A Week,White
5634,Same,Male,Conservative,,Few Times A Week,White
5788,Same,Male,Conservative,,Few Times A Week,White
3546,Same,Female,Moderate,,Never,White
5776,Same,Male,Conservative,,Several Times Daily,White
5777,Same,Male,Moderate,Half of the Time,Several Times Daily,White
